operator_id,palette_type,role,rank,hex,lab_l,lab_a,lab_b,weight,notes
op-028,core,support_8,8,#483A34,25.6782,5.3951,5.8333,0.139168,
op-028,categorical_anchor,theme,1,#9B7543,52.0301,8.9218,33.3007,0.013581,
op-029,core,theme,1,#525782,38.1005,9.4379,-24.9247,0.108315,
op-029,core,accent_1,2,#EFA69F,74.8830,26.0384,14.6248,0.038218,
op-029,core,accent_2,3,#BD8078,59.4456,22.9177,13.9553,0.017524,
op-029,core,dark,4,#201927,10.2043,7.1736,-8.3957,0.062267,
op-029,core,light,5,#F4E1DD,90.8488,5.8428,3.9902,0.107383,
op-029,core,neutral,6,#F4E1DD,90.8488,5.8428,3.9902,0.107383,
op-029,core,support_7,7,#3E4366,29.3644,8.0292,-21.4089,0.126398,
op-029,core,support_8,8,#6C718F,48.2104,5.0283,-17.0528,0.105705,
op-029,categorical_anchor,theme,1,#525782,38.1005,9.4379,-24.9247,0.108315,
op-030,core,theme,1,#EAE6DA,91.3863,-1.0093,6.6028,0.132414,
op-030,core,accent_1,2,#EAE6DA,91.3863,-1.0093,6.6028,0.132414,
op-030,core,accent_2,3,#19120D,6.1556,1.8847,3.7220,0.057230,
op-030,core,dark,4,#19120D,6.1556,1.8847,3.7220,0.057230,
op-030,core,light,5,#F9F3E7,95.9088,0.1145,6.3302,0.118628,
op-030,core,neutral,6,#19120D,6.1556,1.8847,3.7220,0.057230,
op-030,core,support_7,7,#453731,24.2206,5.2320,5.5732,0.101154,
op-030,core,support_8,8,#312520,15.8842,4.5964,5.7056,0.100192,
op-030,categorical_anchor,theme,1,#EAE6DA,91.3863,-1.0093,6.6028,0.132414,
op-031,core,theme,1,#890A0C,28.2134,48.9263,36.2076,0.028328,
op-031,core,accent_1,2,#ECBD9F,80.0647,12.4244,21.4122,0.103059,
op-031,core,accent_2,3,#C2A08A,68.2926,9.2150,16.3019,0.041710,
op-031,core,dark,4,#171310,6.2572,1.3577,2.4162,0.160758,
op-031,core,light,5,#EEE6DB,91.7104,0.6994,6.4923,0.009559,
op-031,core,neutral,6,#262320,14.0415,0.4792,2.6658,0.239486,
op-031,core,support_7,7,#4E0B08,14.8415,30.0794,19.6515,0.075773,
op-031,core,support_8,8,#855541,40.9127,17.4172,19.8281,0.040146,
op-031,categorical_anchor,theme,1,#890A0C,28.2134,48.9263,36.2076,0.028328,
op-032,core,theme,1,#77777D,50.2101,0.9866,-3.2525,0.115265,
op-032,core,accent_1,2,#77777D,50.2101,0.9866,-3.2525,0.115265,
op-032,core,accent_2,3,#0E0D14,3.9964,1.4892,-3.2761,0.056258,
op-032,core,dark,4,#0E0D14,3.9964,1.4892,-3.2761,0.056258,
op-032,core,light,5,#EFEAEC,93.1697,2.1470,-0.2940,0.095474,
op-032,core,neutral,6,#EFEAEC,93.1697,2.1470,-0.2940,0.095474,
op-032,core,support_7,7,#9E9DA4,65.0485,1.5533,-3.4755,0.092542,
op-032,core,support_8,8,#C3C4C9,79.2933,0.7041,-2.7235,0.119846,
op-032,categorical_anchor,theme,1,#77777D,50.2101,0.9866,-3.2525,0.115265,
op-033,core,theme,1,#A0937B,61.5977,0.8807,14.4784,0.114498,
op-033,core,accent_1,2,#393225,21.1483,0.6551,9.6206,0.083271,
op-033,core,accent_2,3,#52473A,30.9564,1.9011,9.7373,0.125799,
op-033,core,dark,4,#1B180E,8.2622,-0.2426,6.6228,0.040446,
op-033,core,light,5,#F9ECDF,94.2264,2.1679,8.0015,0.029442,
op-033,core,neutral,6,#1B180E,8.2622,-0.2426,6.6228,0.040446,
op-033,core,support_7,7,#91846D,55.7975,0.9812,14.3965,0.108996,
op-033,core,support_8,8,#7E735A,48.9484,0.0100,15.5728,0.103346,
op-033,categorical_anchor,theme,1,#A0937B,61.5977,0.8807,14.4784,0.114498,
op-034,core,theme,1,#E15F25,56.3669,48.1475,55.4408,0.059339,
op-034,core,accent_1,2,#3E2926,18.9370,9.2861,5.4959,0.171274,
op-034,core,accent_2,3,#D2BCB5,77.8032,6.8542,6.1025,0.020061,
op-034,core,dark,4,#201112,6.8094,8.0207,2.4526,0.129130,
